table_id,date,time_start,time_end,party_size,name,dishes,created_at
4,2026-07-29,19:00,21:00,4,Guest,Not specified,2026-07-28T21:03:02.920614
1,2026-07-29,19:00,21:00,2,Guest,Not specified,2026-07-28T21:03:13.015810
5,2026-07-29,19:30,21:30,3,Guest,Not specified,2026-07-28T21:03:25.199482
1,2026-07-29,21:00,23:00,2,Guest,Not specified,2026-07-28T21:03:37.000561
4,2026-07-29,21:00,23:00,3,Guest,Not specified,2026-07-28T21:04:08.400166
4,2026-07-28,14:00,16:00,3,Guest,Not specified,2026-07-28T21:24:45.005020
4,2026-07-28,19:00,21:00,3,Guest,Not specified,2026-07-28T21:25:01.146922
7,2026-07-29,18:00,20:00,6,Guest,Not specified,2026-07-28T21:25:01.748068
1,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:29:32.840309
2,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:36:11.328547
1,2026-07-28,20:00,22:00,2,Guest,Not specified,2026-07-28T21:36:11.772074
3,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:37:07.483549
5,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:37:13.225697
6,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:37:15.260960
7,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:37:16.791026
8,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:37:18.308544
9,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:37:21.455679
10,2026-07-28,14:00,16:00,2,Guest,Not specified,2026-07-28T21:37:27.015752
1,2026-07-29,14:00,16:00,2,Guest,Not specified,2026-07-28T21:38:40.625237
1,2026-08-02,14:00,16:00,2,Guest,Not specified,2026-07-28T21:39:10.287878
